Date,Category,Response,Deaths
6/11/2020,Hosp,Yes,4108
6/11/2020,Hosp,No,969
6/11/2020,Hosp,Unknown,2415
6/11/2020,Preexist,Yes,3519
6/11/2020,Preexist,No,62
6/11/2020,Preexist,Unknown,3911
6/12/2020,Sex,Male,3555
6/12/2020,Sex,Female,3982
6/12/2020,Hosp,Yes,4130
6/12/2020,Hosp,No,978
6/12/2020,Hosp,Unknown,2430
6/12/2020,Preexist,Yes,3540
6/12/2020,Preexist,No,63
6/12/2020,Preexist,Unknown,3935
6/13/2020,Sex,Male,3570
6/13/2020,Sex,Female,4005
6/13/2020,Hosp,Yes,4148
6/13/2020,Hosp,No,981
6/13/2020,Hosp,Unknown,2447
6/13/2020,Preexist,Yes,3565
6/13/2020,Preexist,No,62
6/13/2020,Preexist,Unknown,3949
6/14/2020,Sex,Male,3586
6/14/2020,Sex,Female,4037
6/14/2020,Hosp,Yes,4176
6/14/2020,Hosp,No,986
6/14/2020,Hosp,Unknown,2462
6/14/2020,Preexist,Yes,3598
6/14/2020,Preexist,No,62
6/14/2020,Preexist,Unknown,3964
6/15/2020,Sex,Male,3599
6/15/2020,Sex,Female,4047
6/15/2020,Hosp,Yes,4189
6/15/2020,Hosp,No,987
6/15/2020,Hosp,Unknown,2471
6/15/2020,Preexist,Yes,3603
6/15/2020,Preexist,No,62
6/15/2020,Preexist,Unknown,3982
6/16/2020,Sex,Male,3604
6/16/2020,Sex,Female,4060
6/16/2020,Hosp,Yes,4199
6/16/2020,Hosp,No,999
6/16/2020,Hosp,Unknown,2467
6/16/2020,Preexist,Yes,3616
6/16/2020,Preexist,No,62
6/16/2020,Preexist,Unknown,3987
6/17/2020,Sex,Male,3632
6/17/2020,Sex,Female,4101
6/17/2020,Hosp,Yes,4236
6/17/2020,Hosp,No,1009
6/17/2020,Hosp,Unknown,2489
6/17/2020,Preexist,Yes,3643
6/17/2020,Preexist,No,65
6/17/2020,Preexist,Unknown,4026
6/18/2020,Sex,Male,3649
6/18/2020,Sex,Female,4120
6/18/2020,Hosp,Yes,4252
6/18/2020,Hosp,No,1026
6/18/2020,Hosp,Unknown,2492
6/18/2020,Preexist,Yes,3675
6/18/2020,Preexist,No,66
6/18/2020,Preexist,Unknown,4029
6/19/2020,Sex,Male,3662
6/19/2020,Sex,Female,4137
6/19/2020,Hosp,Yes,4267
6/19/2020,Hosp,No,1028
6/19/2020,Hosp,Unknown,2505
6/19/2020,Preexist,Yes,3687
6/19/2020,Preexist,No,66
6/19/2020,Preexist,Unknown,4047
6/20/2020,Sex,Male,3676
6/20/2020,Sex,Female,4151
6/20/2020,Hosp,Yes,4284
6/20/2020,Hosp,No,1033
6/20/2020,Hosp,Unknown,2511
6/20/2020,Preexist,Yes,3705
6/20/2020,Preexist,No,66
6/20/2020,Preexist,Unknown,4057
6/21/2020,Sex,Male,3687
6/21/2020,Sex,Female,4170
6/21/2020,Hosp,Yes,4295
6/21/2020,Hosp,No,1040
6/21/2020,Hosp,Unknown,2523
6/21/2020,Preexist,Yes,3716
6/21/2020,Preexist,No,66
6/21/2020,Preexist,Unknown,4076
6/22/2020,Sex,Male,3695
6/22/2020,Sex,Female,4178
6/22/2020,Hosp,Yes,4302
6/22/2020,Hosp,No,1041
6/22/2020,Hosp,Unknown,2531
6/22/2020,Preexist,Yes,3722
6/22/2020,Preexist,No,66
6/22/2020,Preexist,Unknown,4086
6/23/2020,Sex,Male,3699
6/23/2020,Sex,Female,4190
6/23/2020,Hosp,Yes,4318
6/23/2020,Hosp,No,1048
6/23/2020,Hosp,Unknown,2524
6/23/2020,Preexist,Yes,3742
6/23/2020,Preexist,No,66
6/23/2020,Preexist,Unknown,4082
6/24/2020,Sex,Male,3712
6/24/2020,Sex,Female,4225
6/24/2020,Hosp,Yes,4342
6/24/2020,Hosp,No,1053
6/24/2020,Hosp,Unknown,2543
6/24/2020,Preexist,Yes,3769
6/24/2020,Preexist,No,66
6/24/2020,Preexist,Unknown,4103
6/25/2020,Sex,Male,3720
6/25/2020,Sex,Female,4242
6/25/2020,Hosp,Yes,4354
6/25/2020,Hosp,No,1070
6/25/2020,Hosp,Unknown,2539
6/25/2020,Preexist,Yes,3813
6/25/2020,Preexist,No,67
6/25/2020,Preexist,Unknown,4083
6/26/2020,Sex,Male,3742
6/26/2020,Sex,Female,4269
6/26/2020,Hosp,Yes,4370
6/26/2020,Hosp,No,1083
6/26/2020,Hosp,Unknown,2560
6/26/2020,Preexist,Yes,3834
6/26/2020,Preexist,No,68
6/26/2020,Preexist,Unknown,4111
6/27/2020,Sex,Male,3750
6/27/2020,Sex,Female,4290
6/27/2020,Hosp,Yes,4383
6/27/2020,Hosp,No,1085
6/27/2020,Hosp,Unknown,2573
6/27/2020,Preexist,Yes,3857
6/27/2020,Preexist,No,68
6/27/2020,Preexist,Unknown,4116
6/28/2020,Sex,Male,3760
6/28/2020,Sex,Female,4299
6/28/2020,Hosp,Yes,4388
6/28/2020,Hosp,No,1088
6/28/2020,Hosp,Unknown,2584
6/28/2020,Preexist,Yes,3866
6/28/2020,Preexist,No,69
6/28/2020,Preexist,Unknown,4125
6/29/2020,Sex,Male,3773
6/29/2020,Sex,Female,4321
6/29/2020,Hosp,Yes,4405
6/29/2020,Hosp,No,1103
6/29/2020,Hosp,Unknown,2587
6/29/2020,Preexist,Yes,3881
6/29/2020,Preexist,No,69
6/29/2020,Preexist,Unknown,4145
6/30/2020,Sex,Male,3752
6/30/2020,Sex,Female,4301
6/30/2020,Hosp,Yes,4373
6/30/2020,Hosp,No,1112
6/30/2020,Hosp,Unknown,2569
6/30/2020,Preexist,Yes,3878
6/30/2020,Preexist,No,69
6/30/2020,Preexist,Unknown,4107
7/1/2020,Sex,Male,3753
7/1/2020,Sex,Female,4326
7/1/2020,Hosp,Yes,4375
7/1/2020,Hosp,No,1142
7/1/2020,Hosp,Unknown,2564
7/1/2020,Preexist,Yes,3907
7/1/2020,Preexist,No,69
7/1/2020,Preexist,Unknown,4105
7/2/2020,Sex,Male,3779
7/2/2020,Sex,Female,4351
7/2/2020,Hosp,Yes,4393
7/2/2020,Hosp,No,1149
7/2/2020,Hosp,Unknown,2590
7/2/2020,Preexist,Yes,3948
7/2/2020,Preexist,No,71
7/2/2020,Preexist,Unknown,4113
7/3/2020,Sex,Male,3784
7/3/2020,Sex,Female,4364
7/3/2020,Hosp,Yes,4403
7/3/2020,Hosp,No,1164
7/3/2020,Hosp,Unknown,2582
7/3/2020,Preexist,Yes,3961
7/3/2020,Preexist,No,72
7/3/2020,Preexist,Unknown,4116
7/4/2020,Sex,Male,3796
7/4/2020,Sex,Female,4375
7/4/2020,Hosp,Yes,4422
7/4/2020,Hosp,No,1165
7/4/2020,Hosp,Unknown,2585
7/4/2020,Preexist,Yes,3981
7/4/2020,Preexist,No,71
7/4/2020,Preexist,Unknown,4120
7/5/2020,Sex,Male,3804
7/5/2020,Sex,Female,4378
7/5/2020,Hosp,Yes,4424
7/5/2020,Hosp,No,1169
7/5/2020,Hosp,Unknown,2590
7/5/2020,Preexist,Yes,3985
7/5/2020,Preexist,No,71
7/5/2020,Preexist,Unknown,4127
7/6/2020,Sex,Male,3812
7/6/2020,Sex,Female,4385
7/6/2020,Hosp,Yes,4430
7/6/2020,Hosp,No,1173
7/6/2020,Hosp,Unknown,2595
7/6/2020,Preexist,Yes,3992
7/6/2020,Preexist,No,71
7/6/2020,Preexist,Unknown,4135
7/7/2020,Sex,Male,3816
7/7/2020,Sex,Female,4395
7/7/2020,Hosp,Yes,4437
7/7/2020,Hosp,No,1177
7/7/2020,Hosp,Unknown,2599
7/7/2020,Preexist,Yes,4002
7/7/2020,Preexist,No,72
7/7/2020,Preexist,Unknown,4139
7/8/2020,Sex,Male,3832
7/8/2020,Sex,Female,4410
7/8/2020,Hosp,Yes,4448
7/8/2020,Hosp,No,1182
7/8/2020,Hosp,Unknown,2613
7/8/2020,Preexist,Yes,4011
7/8/2020,Preexist,No,72
7/8/2020,Preexist,Unknown,4160
7/9/2020,Sex,Male,3839
7/9/2020,Sex,Female,4428
7/9/2020,Hosp,Yes,4460
7/9/2020,Hosp,No,1192
7/9/2020,Hosp,Unknown,2616
7/9/2020,Preexist,Yes,4042
7/9/2020,Preexist,No,72
7/9/2020,Preexist,Unknown,4154
7/10/2020,Sex,Male,3851
7/10/2020,Sex,Female,4444
7/10/2020,Hosp,Yes,4474
7/10/2020,Hosp,No,1197
7/10/2020,Hosp,Unknown,2625
7/10/2020,Preexist,Yes,4050
7/10/2020,Preexist,No,73
7/10/2020,Preexist,Unknown,4173
7/11/2020,Sex,Male,3853
7/11/2020,Sex,Female,4456
7/11/2020,Hosp,Yes,4482
7/11/2020,Hosp,No,1203
7/11/2020,Hosp,Unknown,2625
7/11/2020,Preexist,Yes,4056
7/11/2020,Preexist,No,73
7/11/2020,Preexist,Unknown,4181
7/12/2020,Sex,Male,3857
7/12/2020,Sex,Female,4467
7/12/2020,Hosp,Yes,4487
7/12/2020,Hosp,No,1206
7/12/2020,Hosp,Unknown,2632
7/12/2020,Preexist,Yes,4070
7/12/2020,Preexist,No,73
7/12/2020,Preexist,Unknown,4182
7/13/2020,Sex,Male,3860
7/13/2020,Sex,Female,4468
7/13/2020,Hosp,Yes,4489
7/13/2020,Hosp,No,1217
7/13/2020,Hosp,Unknown,2624
7/13/2020,Preexist,Yes,4071
7/13/2020,Preexist,No,73
7/13/2020,Preexist,Unknown,4186
7/14/2020,Sex,Male,3867
7/14/2020,Sex,Female,4471
7/14/2020,Hosp,Yes,4493
7/14/2020,Hosp,No,1223
7/14/2020,Hosp,Unknown,2624
7/14/2020,Preexist,Yes,4077
7/14/2020,Preexist,No,73
7/14/2020,Preexist,Unknown,4190
7/15/2020,Sex,Male,3877
7/15/2020,Sex,Female,4489
7/15/2020,Hosp,Yes,4502
7/15/2020,Hosp,No,1238
7/15/2020,Hosp,Unknown,2628
7/15/2020,Preexist,Yes,4094
7/15/2020,Preexist,No,74
7/15/2020,Preexist,Unknown,4200
7/16/2020,Sex,Male,3882
7/16/2020,Sex,Female,4496
7/16/2020,Hosp,Yes,4509
7/16/2020,Hosp,No,1239
7/16/2020,Hosp,Unknown,2632
7/16/2020,Preexist,Yes,4101
7/16/2020,Preexist,No,74
7/16/2020,Preexist,Unknown,4205
7/17/2020,Sex,Male,3893
7/17/2020,Sex,Female,4506
7/17/2020,Hosp,Yes,4520
7/17/2020,Hosp,No,1247
7/17/2020,Hosp,Unknown,2635
7/17/2020,Preexist,Yes,4117
7/17/2020,Preexist,No,75
7/17/2020,Preexist,Unknown,4210
7/18/2020,Sex,Male,3896
7/18/2020,Sex,Female,4520
7/18/2020,Hosp,Yes,4523
7/18/2020,Hosp,No,1259
7/18/2020,Hosp,Unknown,2637
7/18/2020,Preexist,Yes,4122
7/18/2020,Preexist,No,75
7/18/2020,Preexist,Unknown,4222
7/19/2020,Sex,Male,3899
7/19/2020,Sex,Female,4529
7/19/2020,Hosp,Yes,4530
7/19/2020,Hosp,No,1261
7/19/2020,Hosp,Unknown,2640
7/19/2020,Preexist,Yes,4131
7/19/2020,Preexist,No,75
7/19/2020,Preexist,Unknown,4225
7/20/2020,Sex,Male,3900
7/20/2020,Sex,Female,4530
7/20/2020,Hosp,Yes,4531
7/20/2020,Hosp,No,1262
7/20/2020,Hosp,Unknown,2640
7/20/2020,Preexist,Yes,4133
7/20/2020,Preexist,No,75
7/20/2020,Preexist,Unknown,4225
7/21/2020,Sex,Male,3907
7/21/2020,Sex,Female,4540
7/21/2020,Hosp,Yes,4545
7/21/2020,Hosp,No,1271
7/21/2020,Hosp,Unknown,2634
7/21/2020,Preexist,Yes,4145
7/21/2020,Preexist,No,75
7/21/2020,Preexist,Unknown,4230
7/22/2020,Sex,Male,3914
7/22/2020,Sex,Female,4552
7/22/2020,Hosp,Yes,4557
7/22/2020,Hosp,No,1279
7/22/2020,Hosp,Unknown,2632
7/22/2020,Preexist,Yes,4160
7/22/2020,Preexist,No,75
7/22/2020,Preexist,Unknown,4233
7/23/2020,Sex,Male,3919
7/23/2020,Sex,Female,4563
7/23/2020,Hosp,Yes,4562
7/23/2020,Hosp,No,1281
7/23/2020,Hosp,Unknown,2641
7/23/2020,Preexist,Yes,4175
7/23/2020,Preexist,No,75
7/23/2020,Preexist,Unknown,4234
7/24/2020,Sex,Male,3925
7/24/2020,Sex,Female,4571
7/24/2020,Hosp,Yes,4568
7/24/2020,Hosp,No,1297
7/24/2020,Hosp,Unknown,2633
7/24/2020,Preexist,Yes,4180
7/24/2020,Preexist,No,75
7/24/2020,Preexist,Unknown,4243
7/25/2020,Sex,Male,3930
7/25/2020,Sex,Female,4578
7/25/2020,Hosp,Yes,4583
7/25/2020,Hosp,No,1298
7/25/2020,Hosp,Unknown,2629
7/25/2020,Preexist,Yes,4192
7/25/2020,Preexist,No,75
7/25/2020,Preexist,Unknown,4243
7/26/2020,Sex,Male,3936
7/26/2020,Sex,Female,4591
7/26/2020,Hosp,Yes,4591
7/26/2020,Hosp,No,1305
7/26/2020,Hosp,Unknown,2633
7/26/2020,Preexist,Yes,4207
7/26/2020,Preexist,No,76
7/26/2020,Preexist,Unknown,4246
7/27/2020,Sex,Male,3940
7/27/2020,Sex,Female,4594
7/27/2020,Hosp,Yes,4593
7/27/2020,Hosp,No,1312
7/27/2020,Hosp,Unknown,2631
7/27/2020,Preexist,Yes,4210
7/27/2020,Preexist,No,76
7/27/2020,Preexist,Unknown,4250
7/28/2020,Sex,Male,3948
7/28/2020,Sex,Female,4601
7/28/2020,Hosp,Yes,4602
7/28/2020,Hosp,No,1322
7/28/2020,Hosp,Unknown,2627
7/28/2020,Preexist,Yes,4221
7/28/2020,Preexist,No,76
7/28/2020,Preexist,Unknown,4254
7/29/2020,Sex,Male,3964
7/29/2020,Sex,Female,4614
7/29/2020,Hosp,Yes,4612
7/29/2020,Hosp,No,1341
7/29/2020,Hosp,Unknown,2627
7/29/2020,Preexist,Yes,4267
7/29/2020,Preexist,No,76
7/29/2020,Preexist,Unknown,4237
7/30/2020,Sex,Male,3975
7/30/2020,Sex,Female,4618
7/30/2020,Hosp,Yes,4622
7/30/2020,Hosp,No,1349
7/30/2020,Hosp,Unknown,2624
7/30/2020,Preexist,Yes,4245
7/30/2020,Preexist,No,77
7/30/2020,Preexist,Unknown,4273
7/31/2020,Sex,Male,3980
7/31/2020,Sex,Female,4627
7/31/2020,Hosp,Yes,4627
7/31/2020,Hosp,No,1359
7/31/2020,Hosp,Unknown,2623
7/31/2020,Preexist,Yes,4264
7/31/2020,Preexist,No,76
7/31/2020,Preexist,Unknown,4269
